Role,Assessment Name,Schedule Day,Form Link,Instructions,Deadline Time
Merchant Care,Hardware Setup & Troubleshooting,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Merchant Care,Mock Test 1,4,https://forms.gle/FKaQMgkzC6waDdhh8,Assess product knowledge and soft skills when handling merchants,End of Day
Merchant Care,Mock Test 2,6,https://forms.gle/FKaQMgkzC6waDdhh8,Second assessment to reinforce learning and identify improvement areas,End of Day
Merchant Care,Mock Test 3,8,https://forms.gle/FKaQMgkzC6waDdhh8,Final assessment before graduation to ensure readiness,End of Day
Merchant Onboarding Manager,Hardware Setup & Troubleshooting,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Merchant Onboarding Manager,Training Assessment F&B,4,https://forms.gle/PoWWciHpStBQyoy2A,Assess F&B sector knowledge and onboarding processes,End of Day
Merchant Onboarding Manager,Training Assessment Retail,5,https://forms.gle/NLz3fTGEzrtig3qz9,Assess Retail sector knowledge and onboarding processes,End of Day
Merchant Onboarding Manager,Welcome Call,6,https://forms.gle/faZ9tWtdaq34Sb9r7,Evaluate client introduction and rapport building skills,End of Day
Merchant Onboarding Manager,Go Live Call,7,https://forms.gle/8RqXyt7unMg25skK9,Assess technical setup and go-live support capabilities,End of Day
Merchant Onboarding Manager,Training Mock Test (F&B),8,https://forms.gle/CcfmMcrb48cj6iMx6,Comprehensive F&B onboarding simulation,End of Day
Merchant Onboarding Manager,Training Mock Test (Retail),9,https://forms.gle/F5SaX7CURqrNoEV66,Comprehensive Retail onboarding simulation,End of Day
Customer Success Manager,Hardware Setup & Troubleshooting,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Customer Success Manager,AM Assessment,4,https://forms.gle/89McoPTBytfjnh78A,Evaluate account management fundamentals and client relationship skills,End of Day
Customer Success Manager,Roleplay 1,6,https://forms.gle/SDGiQgRzWkWKAj7f6,Client interaction scenario - retention and upselling focus,End of Day
Customer Success Manager,Roleplay 2,8,https://forms.gle/SDGiQgRzWkWKAj7f6,Advanced client scenario - problem resolution and relationship management,End of Day
Onboarding Specialist,Hardware Setup & Troubleshooting,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day
Onboarding Specialist,Training Assessment F&B,4,https://forms.gle/PoWWciHpStBQyoy2A,Assess F&B sector knowledge and onboarding processes,End of Day
Onboarding Specialist,Training Assessment Retail,5,https://forms.gle/NLz3fTGEzrtig3qz9,Assess Retail sector knowledge and onboarding processes,End of Day
Onboarding Specialist,Mock Test F&B,7,https://forms.gle/CcfmMcrb48cj6iMx6,F&B onboarding simulation and process evaluation,End of Day
Onboarding Specialist,Mock Test Retail,8,https://forms.gle/F5SaX7CURqrNoEV66,Retail onboarding simulation and process evaluation,End of Day
Onboarding Coordinator,Hardware Setup,3,https://forms.gle/4uqyPthsVweeZPqx6,Demonstrate basic troubleshooting based on scenario,End of Day


